timestamp,marker_id,dx_cm,dy_cm,radius_cm,apparent_size_cm,height_cm,scale_cmpx,note
2026-08-26T16:23:44,0,-80.16,-35.19,87.55,10.518,146.0,0.28648,
2026-08-26T16:23:44,1,91.76,-35.14,98.26,10.218,146.0,0.28648,
2026-08-26T16:23:44,2,91.65,36.81,98.76,10.657,146.0,0.28648,
2026-08-26T16:23:44,3,-80.23,36.80,88.27,10.680,146.0,0.28648,
2026-08-26T16:23:58,0,-79.80,-35.02,87.15,10.756,146.0,0.28587,
2026-08-26T16:23:58,1,91.70,-35.07,98.18,10.184,146.0,0.28587,
2026-08-26T16:23:58,2,91.72,36.66,98.78,10.566,146.0,0.28587,
2026-08-26T16:23:58,3,-79.87,36.63,87.87,10.653,146.0,0.28587,
2026-08-26T16:23:59,0,-79.86,-35.05,87.22,10.584,146.0,0.28561,
2026-08-26T16:23:59,1,91.49,-35.01,97.96,10.152,146.0,0.28561,
2026-08-26T16:23:59,2,91.53,36.70,98.62,10.558,146.0,0.28561,
2026-08-26T16:23:59,3,-79.89,36.63,87.89,10.672,146.0,0.28561,
2026-08-26T16:23:59,4,-0.06,30.45,30.45,10.264,146.0,0.28561,
2026-08-26T16:25:10,0,-80.17,-35.15,87.54,10.569,146.0,0.28662,
2026-08-26T16:25:10,1,91.82,-35.14,98.31,10.190,146.0,0.28662,
2026-08-26T16:25:10,2,91.82,36.83,98.93,10.610,146.0,0.28662,
2026-08-26T16:25:10,3,-80.20,36.75,88.21,10.670,146.0,0.28662,
2026-08-26T16:25:10,4,0.05,0.71,0.71,11.217,146.0,0.28662,
2026-08-26T16:26:00,0,-79.92,-35.09,87.29,10.576,146.0,0.28590,
2026-08-26T16:26:00,1,91.61,-35.03,98.08,10.100,146.0,0.28590,
2026-08-26T16:26:00,2,91.58,36.75,98.68,10.598,146.0,0.28590,
2026-08-26T16:26:00,3,-79.95,36.67,87.96,10.659,146.0,0.28590,
2026-08-26T16:26:00,4,29.40,2.18,29.48,11.100,146.0,0.28590,
2026-08-26T16:26:18,0,-80.12,-35.15,87.49,10.527,146.0,0.28644,
2026-08-26T16:26:18,1,91.78,-35.09,98.26,10.137,146.0,0.28644,
2026-08-26T16:26:18,2,91.83,36.82,98.94,10.749,146.0,0.28644,
2026-08-26T16:26:18,3,-80.09,36.75,88.12,10.693,146.0,0.28644,
2026-08-26T16:26:18,4,59.93,1.26,59.94,11.210,146.0,0.28644,
2026-08-26T16:27:05,0,-80.21,-35.19,87.59,10.553,146.0,0.28668,
2026-08-26T16:27:05,1,91.72,-35.16,98.23,10.141,146.0,0.28668,
2026-08-26T16:27:05,2,91.76,36.83,98.87,10.590,146.0,0.28668,
2026-08-26T16:27:05,3,-80.30,36.85,88.35,10.697,146.0,0.28668,
2026-08-26T16:27:05,4,-31.10,0.46,31.11,11.086,146.0,0.28668,
2026-08-26T16:27:22,0,-80.38,-35.19,87.75,10.599,146.0,0.28709,
2026-08-26T16:27:22,1,91.89,-35.16,98.38,10.105,146.0,0.28709,
2026-08-26T16:27:22,2,91.93,36.86,99.05,10.653,146.0,0.28709,
2026-08-26T16:27:22,3,-80.38,36.85,88.42,10.721,146.0,0.28709,
2026-08-26T16:27:22,4,-65.46,0.17,65.46,10.980,146.0,0.28709,
2026-08-26T16:27:56,0,-80.14,-35.08,87.48,10.504,146.0,0.28635,
2026-08-26T16:27:56,1,91.64,-35.07,98.13,10.155,146.0,0.28635,
2026-08-26T16:27:56,2,91.67,36.79,98.78,10.655,146.0,0.28635,
2026-08-26T16:27:56,3,-80.21,36.77,88.24,10.692,146.0,0.28635,
2026-08-26T16:27:56,4,-0.44,-15.09,15.10,11.126,146.0,0.28635,
2026-08-26T16:28:12,0,-80.39,-35.23,87.77,10.554,146.0,0.28692,
2026-08-26T16:28:12,1,91.70,-35.23,98.24,10.162,146.0,0.28692,
2026-08-26T16:28:12,2,91.77,36.74,98.85,10.476,146.0,0.28692,
2026-08-26T16:28:12,3,-80.41,36.85,88.45,10.565,146.0,0.28692,
2026-08-26T16:28:12,4,-0.22,-20.42,20.42,11.149,146.0,0.28692,
2026-08-26T16:29:50,0,-79.95,-35.07,87.31,10.486,146.0,0.28598,
2026-08-26T16:29:50,1,91.60,-35.05,98.08,10.189,146.0,0.28598,
2026-08-26T16:29:50,2,91.66,36.71,98.74,10.585,146.0,0.28598,
2026-08-26T16:29:50,3,-80.03,36.71,88.05,10.700,146.0,0.28598,
2026-08-26T16:29:50,4,0.47,16.43,16.44,11.095,146.0,0.28598,
2026-08-26T16:30:09,0,-80.01,-35.04,87.35,10.512,146.0,0.28583,
2026-08-26T16:30:09,1,91.55,-35.02,98.02,10.170,146.0,0.28583,
2026-08-26T16:30:09,2,91.49,36.69,98.57,10.656,146.0,0.28583,
2026-08-26T16:30:09,3,-80.00,36.70,88.02,10.682,146.0,0.28583,
2026-08-26T16:30:09,4,0.64,21.57,21.58,10.990,146.0,0.28583,
